datum,nu,framtid
2026-07-17,58,64
2026-07-20,58,64
2026-07-21,64,64
2026-07-22,63,64
2026-07-23,55,65
2026-07-24,57,64
2026-07-27,57,64
2026-07-28,56,63
2026-07-29,55,63
2026-07-30,58,66
2026-07-31,63,66
2026-08-03,66,65
2026-08-04,69,65
2026-08-05,69,65
2026-08-07,70,65
2026-08-10,68,65
2026-08-11,70,65
2026-08-12,70,64
2026-08-13,69,64
2026-08-14,70,64
2026-08-17,71,65
2026-08-18,65,65
2026-08-19,69,64
2026-08-20,69,65
2026-08-21,72,64
2026-08-24,70,64
2026-08-25,71,63
2026-08-26,71,63
2026-08-28,72,63
2026-08-29,69,63
2026-08-31,68,63
2026-09-01,66,63
