ticker,namn
VOLV-B.ST,Volvo B
ATCO-A.ST,Atlas Copco A
INVE-B.ST,Investor B
ABB.ST,ABB
ERIC-B.ST,Ericsson B
AZN.ST,AstraZeneca
SEB-A.ST,SEB A
SHB-A.ST,Handelsbanken A
SWED-A.ST,Swedbank A
NDA-SE.ST,Nordea
ESSITY-B.ST,Essity B
SAND.ST,Sandvik
SKF-B.ST,SKF B
ALFA.ST,Alfa Laval
EPI-A.ST,Epiroc A
HEXA-B.ST,Hexagon B
ASSA-B.ST,Assa Abloy B
EVO.ST,Evolution
NIBE-B.ST,NIBE B
TELIA.ST,Telia
TEL2-B.ST,Tele2 B
HM-B.ST,H&M B
BOL.ST,Boliden
SAAB-B.ST,Saab B
SCA-B.ST,SCA B
SECU-B.ST,Securitas B
SKA-B.ST,Skanska B
LIFCO-B.ST,Lifco B
INDU-C.ST,Industrivärden C
LATO-B.ST,Latour B
ADDT-B.ST,Addtech B
SOBI.ST,SOBI
GETI-B.ST,Getinge B
ELUX-B.ST,Electrolux B
TREL-B.ST,Trelleborg B
HUSQ-B.ST,Husqvarna B
AXFO.ST,Axfood
KINV-B.ST,Kinnevik B
HOLM-B.ST,Holmen B
SSAB-A.ST,SSAB A
ATCO-B.ST,Atlas Copco B
BETS-B.ST,Betsson B
BURE.ST,Bure Equity
BALD-B.ST,Fastighets Balder B
CAST.ST,Castellum
SAGA-B.ST,Sagax B
WIHL.ST,Wihlborgs
WALL-B.ST,Wallenstam B
FABG.ST,Fabege
HUFV-A.ST,Hufvudstaden A
NP3.ST,NP3 Fastigheter
CATE.ST,Catena
NYF.ST,Nyfosa
FPAR-A.ST,Fastpartner A
PEAB-B.ST,Peab B
NCC-B.ST,NCC B
JM.ST,JM
BONAV-B.ST,Bonava B
INDT.ST,Indutrade
LAGR-B.ST,Lagercrantz B
BEIJ-B.ST,Beijer Ref
INDU-A.ST,Industrivärden A
AAK.ST,AAK
THULE.ST,Thule
DOM.ST,Dometic
DUST.ST,Dustin
MEKO.ST,MEKO
NOLA-B.ST,Nolato B
TROAX.ST,Troax
INWI.ST,Inwido
VOLO.ST,Volati
STOR-B.ST,Storskogen B
INSTAL.ST,Instalco
SECT-B.ST,Sectra B
MYCR.ST,Mycronic
HTRO.ST,Hexatronic
VIT-B.ST,Vitec Software B
VITR.ST,Vitrolife
BIOG-B.ST,BioGaia B
ARJO-B.ST,Arjo B
EPRO-B.ST,Electrolux Professional B
CLAS-B.ST,Clas Ohlson B
BUFAB.ST,Bufab
BILL.ST,Billerud
SINCH.ST,Sinch
TOBII.ST,Tobii
BICO.ST,BICO Group
EMBRAC-B.ST,Embracer B
MTG-B.ST,MTG B
VIMIAN.ST,Vimian
AZA.ST,Avanza Bank
CRED-A.ST,Creades A
SVOL-B.ST,Svolder B
VNV.ST,VNV Global
PNDX-B.ST,Pandox B
HMS.ST,HMS Networks
