ticker,namn
AAPL,Apple
MSFT,Microsoft
NVDA,Nvidia
GOOGL,Alphabet
AMZN,Amazon
META,Meta Platforms
TSLA,Tesla
AVGO,Broadcom
BRK-B,Berkshire Hathaway B
LLY,Eli Lilly
JPM,JPMorgan Chase
V,Visa
UNH,UnitedHealth
XOM,Exxon Mobil
MA,Mastercard
COST,Costco
HD,Home Depot
PG,Procter & Gamble
JNJ,Johnson & Johnson
ABBV,AbbVie
NFLX,Netflix
BAC,Bank of America
CRM,Salesforce
KO,Coca-Cola
MRK,Merck
CVX,Chevron
AMD,AMD
PEP,PepsiCo
TMO,Thermo Fisher
WMT,Walmart
ADBE,Adobe
CSCO,Cisco
ORCL,Oracle
ACN,Accenture
MCD,McDonald's
INTU,Intuit
IBM,IBM
CAT,Caterpillar
GE,GE Aerospace
VZ,Verizon
QCOM,Qualcomm
TXN,Texas Instruments
AMGN,Amgen
PFE,Pfizer
NOW,ServiceNow
ISRG,Intuitive Surgical
SPGI,S&P Global
UBER,Uber
BKNG,Booking
GS,Goldman Sachs
AXP,American Express
MS,Morgan Stanley
NEE,NextEra Energy
RTX,RTX
HON,Honeywell
UNP,Union Pacific
LOW,Lowe's
DIS,Disney
COP,ConocoPhillips
PLTR,Palantir
